day,device,label,n_windows
16-09-28,Blipcare,Blipcare,4
16-09-28,Dropcam,Dropcam,8639
16-09-28,HPPrinter,HPPrinter,2387
16-09-28,InsteonCam_wifi,InsteonCam_wifi,45
16-09-28,InsteonCam_wired,InsteonCam_wired,2671
16-09-28,LiFXBulb,LiFXBulb,1060
16-09-28,NestProtect,NestProtect,5
16-09-28,NetatmoWeather,NetatmoWeather,1763
16-09-28,NetatmoWelcome,NetatmoWelcome,6247
16-09-28,PIX-STAR,PIX-STAR,819
16-09-28,SamsungSmartCam,SamsungSmartCam,6238
16-09-28,SmartThings,SmartThings,8453
16-09-28,TPLinkCam,TPLinkCam,2313
16-09-28,TPLinkPlug,TPLinkPlug,650
16-09-28,TribySpeaker,TribySpeaker,2397
16-09-28,WithingsAura,WithingsAura,4904
16-09-28,WithingsBabyMonitor,WithingsBabyMonitor,8618
16-09-28,WithingsScale,WithingsScale,7
16-09-28,iHome,iHome,1353
16-09-29,AmazonEcho,AmazonEcho,5311
16-09-29,BelkinWemoMotion,BelkinWemoMotion,3208
16-09-29,BelkinWemoSwitch,BelkinWemoSwitch,3142
16-09-29,Dropcam,Dropcam,8640
16-09-29,HPPrinter,HPPrinter,2321
16-09-29,InsteonCam_wired,InsteonCam_wired,4383
16-09-29,LiFXBulb,LiFXBulb,3320
16-09-29,NestProtect,NestProtect,4
16-09-29,NetatmoWeather,NetatmoWeather,1714
16-09-29,NetatmoWelcome,NetatmoWelcome,6271
16-09-29,PIX-STAR,PIX-STAR,876
16-09-29,SamsungSmartCam,SamsungSmartCam,6076
16-09-29,SmartThings,SmartThings,8468
16-09-29,TPLinkCam,TPLinkCam,2257
16-09-29,TPLinkPlug,TPLinkPlug,642
16-09-29,TribySpeaker,TribySpeaker,2208
16-09-29,WithingsAura,WithingsAura,8640
16-09-29,WithingsBabyMonitor,WithingsBabyMonitor,8632
16-09-29,WithingsScale,WithingsScale,8
16-09-29,iHome,iHome,1984
16-09-30,AmazonEcho,AmazonEcho,5303
16-09-30,BelkinWemoMotion,BelkinWemoMotion,3224
16-09-30,BelkinWemoSwitch,BelkinWemoSwitch,3101
16-09-30,Dropcam,Dropcam,8640
16-09-30,HPPrinter,HPPrinter,2360
16-09-30,InsteonCam_wired,InsteonCam_wired,4378
16-09-30,LiFXBulb,LiFXBulb,3262
16-09-30,NestProtect,NestProtect,6
16-09-30,NetatmoWeather,NetatmoWeather,1666
16-09-30,NetatmoWelcome,NetatmoWelcome,6281
16-09-30,PIX-STAR,PIX-STAR,482
16-09-30,SamsungSmartCam,SamsungSmartCam,6031
16-09-30,SmartThings,SmartThings,8461
16-09-30,TPLinkCam,TPLinkCam,2347
16-09-30,TPLinkPlug,TPLinkPlug,642
16-09-30,TribySpeaker,TribySpeaker,2288
16-09-30,WithingsAura,WithingsAura,8134
16-09-30,WithingsBabyMonitor,WithingsBabyMonitor,8631
16-09-30,WithingsScale,WithingsScale,4
16-09-30,iHome,iHome,2881
16-10-01,AmazonEcho,AmazonEcho,5300
16-10-01,BelkinWemoMotion,BelkinWemoMotion,3138
16-10-01,BelkinWemoSwitch,BelkinWemoSwitch,3104
16-10-01,Dropcam,Dropcam,8640
16-10-01,HPPrinter,HPPrinter,2341
16-10-01,InsteonCam_wired,InsteonCam_wired,4708
16-10-01,LiFXBulb,LiFXBulb,3009
16-10-01,NestProtect,NestProtect,4
16-10-01,NetatmoWeather,NetatmoWeather,1851
16-10-01,NetatmoWelcome,NetatmoWelcome,6210
16-10-01,PIX-STAR,PIX-STAR,461
16-10-01,SamsungSmartCam,SamsungSmartCam,5818
16-10-01,SmartThings,SmartThings,8477
16-10-01,TPLinkCam,TPLinkCam,2282
16-10-01,TPLinkPlug,TPLinkPlug,655
16-10-01,TribySpeaker,TribySpeaker,2131
16-10-01,WithingsAura,WithingsAura,8530
16-10-01,WithingsBabyMonitor,WithingsBabyMonitor,8633
16-10-01,WithingsScale,WithingsScale,9
16-10-01,iHome,iHome,2387
16-10-02,AmazonEcho,AmazonEcho,5298
16-10-02,BelkinWemoMotion,BelkinWemoMotion,3009
16-10-02,BelkinWemoSwitch,BelkinWemoSwitch,2997
16-10-02,Dropcam,Dropcam,8280
16-10-02,HPPrinter,HPPrinter,2265
16-10-02,InsteonCam_wired,InsteonCam_wired,4157
16-10-02,LiFXBulb,LiFXBulb,2677
16-10-02,NestProtect,NestProtect,4
16-10-02,NetatmoWeather,NetatmoWeather,1754
16-10-02,NetatmoWelcome,NetatmoWelcome,5910
16-10-02,PIX-STAR,PIX-STAR,433
16-10-02,SamsungSmartCam,SamsungSmartCam,5709
16-10-02,SmartThings,SmartThings,8084
16-10-02,TPLinkCam,TPLinkCam,2150
16-10-02,TPLinkPlug,TPLinkPlug,610
16-10-02,TribySpeaker,TribySpeaker,2212
16-10-02,WithingsAura,WithingsAura,7714
16-10-02,WithingsBabyMonitor,WithingsBabyMonitor,8272
16-10-02,WithingsScale,WithingsScale,8
16-10-02,iHome,iHome,2020
16-10-03,AmazonEcho,AmazonEcho,5379
16-10-03,BelkinWemoMotion,BelkinWemoMotion,3181
16-10-03,BelkinWemoSwitch,BelkinWemoSwitch,3127
16-10-03,Dropcam,Dropcam,8640
16-10-03,HPPrinter,HPPrinter,2333
16-10-03,InsteonCam_wired,InsteonCam_wired,4242
16-10-03,LiFXBulb,LiFXBulb,1892
16-10-03,NestProtect,NestProtect,4
16-10-03,NetatmoWeather,NetatmoWeather,1648
16-10-03,NetatmoWelcome,NetatmoWelcome,6255
16-10-03,PIX-STAR,PIX-STAR,454
16-10-03,SamsungSmartCam,SamsungSmartCam,5602
16-10-03,SmartThings,SmartThings,8456
16-10-03,TPLinkCam,TPLinkCam,2250
16-10-03,TPLinkPlug,TPLinkPlug,652
16-10-03,TribySpeaker,TribySpeaker,2270
16-10-03,WithingsAura,WithingsAura,8640
16-10-03,WithingsBabyMonitor,WithingsBabyMonitor,8635
16-10-03,WithingsScale,WithingsScale,7
16-10-03,iHome,iHome,2219
16-10-04,AmazonEcho,AmazonEcho,5386
16-10-04,BelkinWemoMotion,BelkinWemoMotion,3141
16-10-04,BelkinWemoSwitch,BelkinWemoSwitch,3046
16-10-04,Blipcare,Blipcare,2
16-10-04,Dropcam,Dropcam,8630
16-10-04,HPPrinter,HPPrinter,2335
16-10-04,InsteonCam_wired,InsteonCam_wired,4283
16-10-04,LiFXBulb,LiFXBulb,1901
16-10-04,NestProtect,NestProtect,5
16-10-04,NetatmoWeather,NetatmoWeather,1649
16-10-04,NetatmoWelcome,NetatmoWelcome,6214
16-10-04,PIX-STAR,PIX-STAR,471
16-10-04,SamsungSmartCam,SamsungSmartCam,5806
16-10-04,SmartThings,SmartThings,8337
16-10-04,TPLinkCam,TPLinkCam,2247
16-10-04,TPLinkPlug,TPLinkPlug,652
16-10-04,TribySpeaker,TribySpeaker,2189
16-10-04,WithingsAura,WithingsAura,5808
16-10-04,WithingsBabyMonitor,WithingsBabyMonitor,8552
16-10-04,WithingsScale,WithingsScale,5
16-10-04,iHome,iHome,1679
16-10-05,AmazonEcho,AmazonEcho,5720
16-10-05,BelkinWemoMotion,BelkinWemoMotion,3301
16-10-05,BelkinWemoSwitch,BelkinWemoSwitch,3270
16-10-05,Dropcam,Dropcam,8640
16-10-05,HPPrinter,HPPrinter,2834
16-10-05,InsteonCam_wired,InsteonCam_wired,4397
16-10-05,LiFXBulb,LiFXBulb,2289
16-10-05,NestProtect,NestProtect,6
16-10-05,NetatmoWeather,NetatmoWeather,1699
16-10-05,NetatmoWelcome,NetatmoWelcome,6241
16-10-05,PIX-STAR,PIX-STAR,206
16-10-05,SamsungSmartCam,SamsungSmartCam,6573
16-10-05,SmartThings,SmartThings,8481
16-10-05,TPLinkCam,TPLinkCam,1520
16-10-05,TPLinkPlug,TPLinkPlug,668
16-10-05,TribySpeaker,TribySpeaker,2247
16-10-05,WithingsAura,WithingsAura,6131
16-10-05,WithingsBabyMonitor,WithingsBabyMonitor,8626
16-10-05,WithingsScale,WithingsScale,8
16-10-05,iHome,iHome,1456
16-10-06,AmazonEcho,AmazonEcho,6168
16-10-06,BelkinWemoMotion,BelkinWemoMotion,3268
16-10-06,BelkinWemoSwitch,BelkinWemoSwitch,3246
16-10-06,Dropcam,Dropcam,8640
16-10-06,HPPrinter,HPPrinter,2620
16-10-06,InsteonCam_wired,InsteonCam_wired,4253
16-10-06,LiFXBulb,LiFXBulb,1773
16-10-06,NestProtect,NestProtect,3
16-10-06,NetatmoWeather,NetatmoWeather,1738
16-10-06,NetatmoWelcome,NetatmoWelcome,6199
16-10-06,SamsungSmartCam,SamsungSmartCam,6113
16-10-06,SmartThings,SmartThings,8448
16-10-06,TPLinkPlug,TPLinkPlug,639
16-10-06,TribySpeaker,TribySpeaker,1994
16-10-06,WithingsAura,WithingsAura,4744
16-10-06,WithingsBabyMonitor,WithingsBabyMonitor,8637
16-10-06,WithingsScale,WithingsScale,8
16-10-07,AmazonEcho,AmazonEcho,6200
16-10-07,BelkinWemoMotion,BelkinWemoMotion,3377
16-10-07,BelkinWemoSwitch,BelkinWemoSwitch,3258
16-10-07,Dropcam,Dropcam,8640
16-10-07,HPPrinter,HPPrinter,2737
16-10-07,InsteonCam_wired,InsteonCam_wired,4340
16-10-07,LiFXBulb,LiFXBulb,2081
16-10-07,NestDropcam,NestDropcam,209
16-10-07,NestProtect,NestProtect,4
16-10-07,NetatmoWeather,NetatmoWeather,1863
16-10-07,NetatmoWelcome,NetatmoWelcome,6286
16-10-07,SamsungSmartCam,SamsungSmartCam,6167
16-10-07,SmartThings,SmartThings,8453
16-10-07,TPLinkPlug,TPLinkPlug,403
16-10-07,TribySpeaker,TribySpeaker,2541
16-10-07,WithingsAura,WithingsAura,5610
16-10-07,WithingsBabyMonitor,WithingsBabyMonitor,5433
16-10-07,WithingsScale,WithingsScale,7
16-10-07,iHome,iHome,105
16-10-08,AmazonEcho,AmazonEcho,6158
16-10-08,BelkinWemoMotion,BelkinWemoMotion,3297
16-10-08,BelkinWemoSwitch,BelkinWemoSwitch,3311
16-10-08,Dropcam,Dropcam,8640
16-10-08,HPPrinter,HPPrinter,2662
16-10-08,InsteonCam_wired,InsteonCam_wired,4222
16-10-08,LiFXBulb,LiFXBulb,2190
16-10-08,NestProtect,NestProtect,4
16-10-08,NetatmoWeather,NetatmoWeather,1761
16-10-08,NetatmoWelcome,NetatmoWelcome,6176
16-10-08,SamsungSmartCam,SamsungSmartCam,6098
16-10-08,SmartThings,SmartThings,8453
16-10-08,TribySpeaker,TribySpeaker,2023
16-10-08,WithingsAura,WithingsAura,5461
16-10-08,WithingsScale,WithingsScale,8
16-10-09,AmazonEcho,AmazonEcho,6239
16-10-09,BelkinWemoMotion,BelkinWemoMotion,3285
16-10-09,BelkinWemoSwitch,BelkinWemoSwitch,3264
16-10-09,Dropcam,Dropcam,8640
16-10-09,HPPrinter,HPPrinter,2663
16-10-09,InsteonCam_wired,InsteonCam_wired,4493
16-10-09,LiFXBulb,LiFXBulb,2875
16-10-09,NestProtect,NestProtect,4
16-10-09,NetatmoWeather,NetatmoWeather,1769
16-10-09,NetatmoWelcome,NetatmoWelcome,6116
16-10-09,SamsungSmartCam,SamsungSmartCam,5832
16-10-09,SmartThings,SmartThings,8474
16-10-09,TribySpeaker,TribySpeaker,2226
16-10-09,WithingsAura,WithingsAura,4943
16-10-09,WithingsScale,WithingsScale,8
16-10-10,AmazonEcho,AmazonEcho,6160
16-10-10,BelkinWemoMotion,BelkinWemoMotion,3264
16-10-10,BelkinWemoSwitch,BelkinWemoSwitch,3229
16-10-10,Dropcam,Dropcam,8640
16-10-10,HPPrinter,HPPrinter,2668
16-10-10,InsteonCam_wired,InsteonCam_wired,4961
16-10-10,LiFXBulb,LiFXBulb,3074
16-10-10,NestProtect,NestProtect,4
16-10-10,NetatmoWeather,NetatmoWeather,1670
16-10-10,NetatmoWelcome,NetatmoWelcome,6063
16-10-10,SamsungSmartCam,SamsungSmartCam,6058
16-10-10,SmartThings,SmartThings,8453
16-10-10,TribySpeaker,TribySpeaker,2255
16-10-10,WithingsAura,WithingsAura,5717
16-10-10,WithingsScale,WithingsScale,4
16-10-11,AmazonEcho,AmazonEcho,5999
16-10-11,BelkinWemoMotion,BelkinWemoMotion,3345
16-10-11,BelkinWemoSwitch,BelkinWemoSwitch,3354
16-10-11,Dropcam,Dropcam,8640
16-10-11,HPPrinter,HPPrinter,2683
16-10-11,InsteonCam_wired,InsteonCam_wired,4427
16-10-11,LiFXBulb,LiFXBulb,2549
16-10-11,NestProtect,NestProtect,4
16-10-11,NetatmoWeather,NetatmoWeather,1882
16-10-11,NetatmoWelcome,NetatmoWelcome,6130
16-10-11,SamsungSmartCam,SamsungSmartCam,6731
16-10-11,SmartThings,SmartThings,8497
16-10-11,TribySpeaker,TribySpeaker,2194
16-10-11,WithingsAura,WithingsAura,6185
16-10-11,WithingsScale,WithingsScale,9
16-10-12,AmazonEcho,AmazonEcho,3758
16-10-12,BelkinWemoMotion,BelkinWemoMotion,1957
16-10-12,BelkinWemoSwitch,BelkinWemoSwitch,1981
16-10-12,Dropcam,Dropcam,5213
16-10-12,HPPrinter,HPPrinter,1616
16-10-12,InsteonCam_wired,InsteonCam_wired,2538
16-10-12,LiFXBulb,LiFXBulb,1135
16-10-12,NetatmoWeather,NetatmoWeather,1232
16-10-12,NetatmoWelcome,NetatmoWelcome,3797
16-10-12,SamsungSmartCam,SamsungSmartCam,3764
16-10-12,SmartThings,SmartThings,5093
16-10-12,TribySpeaker,TribySpeaker,1269
16-10-12,WithingsAura,WithingsAura,3798
16-10-12,WithingsScale,WithingsScale,4
